CO_Jup,CO_lum,error,CI_Jup,CI_lum,error
1,1.885168289265828e9,0.8768224601236408e9,2,1.2623691851641687e9,0.9008898054803345e9
3,1.256906908052468e9,0.2484583422894414e9,,,
4,0.40834845836071126e9,0.21376630706131197e9,,,
